Year          Team                 SOS         Record
       2010   A&M-Corpus Christi         159   17-15
       2011   A&M-Corpus Christi         160   7-21
       2012   A&M-Corpus Christi         269   6-24
       2013   A&M-Corpus Christi         206   5-23
       2014   A&M-Corpus Christi         318   15-13
       2015   A&M-Corpus Christi         316   17-13
       2016   A&M-Corpus Christi         235   23-7
       2017   A&M-Corpus Christi         296   17-11
       2015   Abilene Christian          274   7-21
       2016   Abilene Christian          329   9-18
       2017   Abilene Christian          309   9-16
       2010   Air Force                  101   10-21
       2011   Air Force                   58   14-14
       2012   Air Force                   61   11-16
       2013   Air Force                   52   15-13
       2014   Air Force                  173   10-18
       2015   Air Force                  198   12-17
       2016   Air Force                  168   12-18
       2017   Air Force                  103   10-21
       2010   Akron                      168   24-10
       2011   Akron                      184   22-12
       2012   Akron                       60   21-11
       2013   Akron                      120   25-6
       2014   Akron                      143   21-12
       2015   Akron                      120   20-14
       2016   Akron                      126   25-8
       2017   Akron                      161   25-8
       2010   Alabama                     49   17-15
       2011   Alabama                    130   21-11
       2012   Alabama                     32   21-11
       2013   Alabama                     78   20-12
       2014   Alabama                      5   12-19
       2015   Alabama                     61   17-14
       2016   Alabama                     32   18-14
       2017   Alabama                     68   19-14
       2010   Alabama A&M                344   11-16
       2011   Alabama A&M                334   10-15
       2012   Alabama A&M                342   5-21
       2013   Alabama A&M                339   9-20
       2014   Alabama A&M                327   12-16
       2015   Alabama A&M                347   8-20
2016   Alabama A&M       351   10-18
2017   Alabama A&M       347   2-27
2010   Alabama St.       341   16-15
2011   Alabama St.       329   15-17
2012   Alabama St.       336   10-19
2013   Alabama St.       330   9-22
2014   Alabama St.       348   16-12
2015   Alabama St.       351   17-10
2016   Alabama St.       311   12-17
2017   Alabama St.       329   7-23
2010   Albany (NY)       202   7-25
2011   Albany (NY)       290   16-16
2012   Albany (NY)       332   19-14
2013   Albany (NY)       286   24-10
2014   Albany (NY)       273   18-14
2015   Albany (NY)       286   24-8
2016   Albany (NY)       301   23-8
2017   Albany (NY)       202   20-13
2010   Alcorn            288   2-29
2011   Alcorn            321   4-24
2012   Alcorn            343   7-21
2013   Alcorn            296   9-23
2014   Alcorn            326   9-19
2015   Alcorn            345   5-25
2016   Alcorn            324   13-15
2017   Alcorn            326   15-14
2010   American          307   11-20
2011   American          307   22-9
2012   American          302   20-11
2013   American          235   10-20
2014   American          217   20-12
2015   American          158   17-16
2016   American          190   12-19
2017   American          223   8-22
2010   Appalachian St.   183   22-12
2011   Appalachian St.   229   14-15
2012   Appalachian St.   238   11-18
2013   Appalachian St.   323   13-16
2014   Appalachian St.   291   5-21
2015   Appalachian St.   279   12-17
2016   Appalachian St.   135   9-22
2017   Appalachian St.   172   7-21
2010   Arizona            39   16-15
2011   Arizona            54   27-7
2012   Arizona           122   23-11
2013   Arizona            28   25-7
2014   Arizona             4   30-4
2015   Arizona            23   31-3
2016   Arizona            93   25-8
2017   Arizona            14   30-4
2010   Arizona St.        92   22-10
2011   Arizona St.        69   12-19
2012   Arizona St.       139   10-21
2013   Arizona St.       111   21-12
2014   Arizona St.        55   21-11
2015   Arizona St.        64   17-15
2016   Arizona St.        23   15-17
2017   Arizona St.        58   15-18
2010   Ark.-Pine Bluff   266   16-15
2011   Ark.-Pine Bluff   318   7-24
2012   Ark.-Pine Bluff   327   11-22
2013   Ark.-Pine Bluff   320   16-14
2014   Ark.-Pine Bluff   270   11-18
2015   Ark.-Pine Bluff   340   12-20
2016   Ark.-Pine Bluff   300   8-25
2017   Ark.-Pine Bluff   334   6-24
2010   Arkansas           40   14-18
2011   Arkansas          129   18-13
2012   Arkansas           63   18-14
2013   Arkansas           91   19-13
2014   Arkansas           98   21-11
2015   Arkansas           37   26-8
2016   Arkansas           72   16-16
2017   Arkansas           55   25-9
2010   Arkansas St.      254   17-14
2011   Arkansas St.      188   15-15
2012   Arkansas St.      166   13-20
2013   Arkansas St.      252   18-12
2014   Arkansas St.      286   17-13
2015   Arkansas St.      280   10-18
2016   Arkansas St.      197   9-20
2017   Arkansas St.      241   19-12
2010   Army              303   14-15
2011   Army              297   10-19
2012   Army          330   11-18
2013   Army          276   15-15
2014   Army          266   14-16
2015   Army          308   14-15
2016   Army          323   18-13
2017   Army          259   12-19
2010   Auburn         64   15-17
2011   Auburn        163   10-20
2012   Auburn         77   15-16
2013   Auburn        131   9-23
2014   Auburn        114   14-16
2015   Auburn         22   14-20
2016   Auburn         48   11-20
2017   Auburn        154   18-14
2010   Austin Peay   147   17-15
2011   Austin Peay   173   18-13
2012   Austin Peay    82   11-20
2013   Austin Peay   237   6-23
2014   Austin Peay   324   10-18
2015   Austin Peay   200   6-22
2016   Austin Peay   187   16-17
2017   Austin Peay   214   9-19
2010   Ball St.      238   15-15
2011   Ball St.      281   18-12
2012   Ball St.      331   14-15
2013   Ball St.      297   14-15
2014   Ball St.       99   3-25
2015   Ball St.       88   6-23
2016   Ball St.      250   18-13
2017   Ball St.      292   20-12
2010   Baylor         15   25-7
2011   Baylor         46   17-13
2012   Baylor          8   26-7
2013   Baylor         25   17-14
2014   Baylor          9   22-11
2015   Baylor          3   23-9
2016   Baylor          4   21-11
2017   Baylor          5   24-7
2010   Belmont       207   19-12
2011   Belmont       285   30-4
2012   Belmont       201   26-7
2013   Belmont        61   24-6
2014   Belmont           129   23-9
2015   Belmont           251   21-10
2016   Belmont           166   19-11
2017   Belmont           193   21-6
2010   Bethune-Cookman   326   17-16
2011   Bethune-Cookman   313   17-12
2012   Bethune-Cookman   317   16-17
